card_id,customer_id,card_type,card_number
1,3,Mastercard,4532622437878309
2,4,VISA,4916341845254120
3,5,Mastercard,4485981870434021
4,7,VISA,4716630153317756
5,1,American Express,4483312907994484
6,2,Discover,5332412533299488
7,4,VISA,5358363188702806
8,5,Mastercard,5375240547587012
9,6,VISA,5104593982310680
10,10,Discover,5576903895769832
11,11,VISA,6011094306898294
12,12,Discover,6011355635144001
13,13,American Express,6011463005916063
14,14,VISA,6011604110781898
15,15,VISA,6011204889595932
16,7,American Express,371099297458906
17,8,VISA,373986159705416
18,9,VISA,345468470482806
19,16,VISA,349900063755194
20,17,American Express,345203779875537
21,18,VISA,4929001166021533
22,19,VISA,4556680010279429
23,24,VISA,4929650160903714
24,20,VISA,4485090682186736
25,21,VISA,4929649520080577
26,22,VISA,5150965136395234
27,23,American Express,5582822768972582
28,25,VISA,5525231851569984
29,26,VISA,5171575142484222
30,27,VISA,5432496089873340
31,28,VISA,6011272914652879
32,29,Mastercard,6011674019196506
33,30,VISA,6011642775132874
34,31,VISA,6011051842073204
35,32,Discover,6011761842834245
36,33,VISA,370647731803748
37,34,American Express,344922570021568
38,35,American Express,377218212284767
39,37,VISA,373952635630347
40,38,VISA,348751931437965
41,39,Mastercard,5431700628553722
42,40,VISA,5597267532903021
43,42,VISA,5448674560135726
44,43,American Express,4485047796005897
45,44,Discover,4024007163137762
46,45,VISA,4916769494116960
47,46,VISA,4924386953532999
48,47,VISA,4539853965072063
49,48,VISA,6011867875075661
50,49,VISA,6011812323116691
51,50,Discover,6011693459052086
52,26,VISA,6011955516740312
53,34,American Express,6011843147726274
