customer_id,first_name,last_name,phone_number,address
1,James,Morris,(429) 284-9737,"66 Swanson St. Des Plaines, IL 60016"
2,William,Robbins,(571) 565-3960,"76 Highland St. Acworth, GA 30101"
3,Timothy,Holland,(855) 209-8589,"85 Elizabeth Circle, Evanston, IL 60201"
4,Hector,Patterson,(373) 663-5892,"87 Rockledge DriveAmityville, NY 11701"
5,Stephen,Lawrence,(928) 555-4507,"2 S. Smith Store CourtKenosha, WI 53140"
6,Jade,Kaiser,(331) 436-1307,"78 East Aspen St. Suite 2 Colorado Springs, CO 80911"
7,Nicholas,Green,(315) 648-9172,"976 Old Beech St. Hoffman Estates, IL 60169"
8,Amanda,Rodriguez,(479) 739-0721,"8167 Shipley St. Ocean Springs, MS 39564"
9,Jared,Trevino,(255) 377-6218,"458 E. Bohemia St. Largo, FL 33771"
10,Kyle,Baird,(893) 584-2068,"7398 Golf Lane Lakeville, MN 55044"
11,Rodney,Leach,(432) 975-1055,"9885 Princeton Dr. Waterloo, IA 50701"
12,John,Johnston,(319) 534-7114,"9 Birchpond Street Lansdowne, PA 19050"
13,Daniel,Washington,(355) 741-6649,"34 Country Club St. Lombard, IL 60148"
14,Eric,Lucas,(597) 706-2078,"9514 Border Ave. Kings Mountain, NC 28086"
15,Tami,Velazquez,(890) 777-8808,"472 Lincoln Ave. Delray Beach, FL 33445"
16,Brittney,Harris,(996) 730-6882,"78 Monroe Avenue Lindenhurst, NY 11757"
17,Kelly,Williams,(389) 692-2471,"288 Arrowhead Rd. Brownsburg, IN 46112"
18,Michael,Young,(555) 585-1678,"184 Gregory St. Garland, TX 75043"
19,Jeffery,Jones,(690) 443-6769,"476 Pacific St. Tampa, FL 33604"
20,Bruce,Gonzalez,(522) 854-3375,"7835 Sherwood Street Lagrange, GA 30240"
21,Samuel,Smith,(640) 955-9576,"533 Harvey Ave. Point Pleasant Beach, NJ 08742"
22,Natalie,Murphy,(734) 263-1556,"7 Taylor Ave. Palatine, IL 60067"
23,Mark,Jones,(349) 832-7209,"6 Sycamore St. Hamburg, NY 14075"
24,Jesse,Evans,(322) 737-0624,"56C Bohemia Lane Winter Haven, FL 33880"
25,Robert,Gordon,(303) 338-7437,"280 Fieldstone StreetCircle Pines, MN 55014"
26,Michael,Ross,(675) 442-2991,"72 East Winchester Street Parkersburg, WV 26101"
27,Patricia,Potter,(566) 375-3434,"24 Oxford Dr. Matthews, NC 28104"
28,Thomas,Woods,(914) 928-8642,"412 Winding Way St. Antioch, TN 37013"
29,Jennifer,Franklin,(630) 228-6743,"600 Garfield Lane Salem, MA 01970"
30,Samuel,Davis,(713) 431-1427,"13 Thomas St. Fishers, IN 46037"
31,Carrie,Carter,(558) 675-1961,"984 Ridgewood St. Atlanta, GA 30303"
32,Ralph,Wilson,(241) 400-2053,"835 East Oxford St. Lake Mary, FL 32746"
33,Timothy,Alexander,(843) 600-0009,"990 Myrtle Road Wilson, NC 27893"
34,Natasha,Gaines,(221) 492-9856,"9983 North Wakehurst St. Rocky Mount, NC 27804"
35,Christopher,Young,(340) 863-3706,"613 Oakland Rd. Holland, MI 49423"
36,Eric,Robertson,(967) 895-7067,"83 Colonial Street Frederick, MD 21701"
37,Michael,Wilson,(750) 429-2575,"85 South Lexington Road Canyon Country, CA 91387"
38,Dustin,Harper,(762) 293-4881,"1 Bridge Lane Jacksonville, NC 28540"
39,Kimberly,Morris,(343) 246-3969,"8591 La Sierra Avenue Fort Wayne, IN 46804"
40,Brandi,Smith,(961) 341-3421,"7194 Center St. West Warwick, RI 02893"
41,Michael,Cooper,(832) 308-7253,"48 Country Dr. Middleburg, FL 32068"
42,Jeremy,Mejia,(385) 698-3182,"9287 Plymouth Lane Yakima, WA 98908"
43,Samuel,Mcmahon,(946) 463-9680,"8360 Rock Maple Avenue Ontario, CA 91762"
44,Randall,Wright,(484) 833-2592,"8256 Miller Ave. Chesapeake, VA 23320"
45,Melanie,Moore,(442) 711-7457,"704 Foster Court Bluffton, SC 29910"
46,Reginald,Price,(837) 741-6571,"785 East Bridle Court Jamestown, NY 14701"
47,Kenneth,Hanna,(408) 996-7772,"8952 Highland Rd. Piedmont, SC 29673"
48,Traci,Martin,(313) 824-1062,"3 Edgemont St. Oxnard, CA 93035"
49,Alice,Ryan,(212) 519-1484,"7140 Beach Road Griffin, GA 30223"
50,Cindy,Good,(416) 250-9770,"424 Brookside St. Londonderry, NH 03053"
